Burnout_Level,Mean,StdErr,CI_Lower,CI_Upper,CV
NEVER,1585.2008096090055,11.930325953007173,1561.8173707411115,1608.5842484768996,0.7526066023111497
EVERYDAY,1924.231539470371,8.458539952661443,1907.6528011631547,1940.8102777775873,0.4395801533837028
A FEW TIMES A MONTH,1770.5950432273326,7.799480124211612,1755.3080621838778,1785.8820242707873,0.44050050597652163
A FEW TIMES A YEAR,1733.1209434042473,7.421510978494921,1718.5747818863972,1747.6671049220975,0.4282165654243016
A FEW TIMES A WEEK,1872.4566211618314,6.509063004808863,1859.6988576724061,1885.2143846512568,0.34762156469985867
